"","14","2","5","35","57","62","75","86","95","95","108","113","115","115","52","36"
"14",0.337444363754744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1.01336187815978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0.12077424245227,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0.21485383314575,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,1.0964900788871,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0.412924989361506,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0.325733738272302,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0.235575181565345,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,1.39260432767222,0.759791638916798,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0.759791638916798,1.65814028607198,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0,0.524654357463715,0,0,0,0,0
"113",0,0,0,0,0,0,0,0,0,0,0,0.589125507376363,0,0,0,0
"115",0,0,0,0,0,0,0,0,0,0,0,0,0.52588494923479,0,0,0
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,0.518953091205272,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522789067826934,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856552477319465
