"","study_ID","study_name","species","order","life_stage","animal_source","body_mass_g","respiration_mode","replication_level","dive_type","mean_or_max","acclimation_temp","t1","t2","mean_t","delta_t","t_magnitude","mean_control","sd_control","n_control","se_control","mean_treatment","sd_treatment","n_treatment","se_treatment","shared_control","Q10","source","genus","species_new","species_rotl"
"1","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",21,24,22.5,3,"3",39.78947368,16.05944635,11,4.842105263,28.42105263,15.36120956,11,4.631578947,1,0.325766594,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"2","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",24,27,25.5,3,"3",28.42105263,15.36120956,11,4.631578947,15.78947368,4.887657586,11,1.473684211,2,0.140958623,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"3","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",27,30,28.5,3,"3",15.78947368,4.887657586,11,1.473684211,11.15789474,3.49118399,11,1.052631579,3,0.314327241,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"4","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",21,24,22.5,3,"3",27.36842105,13.31485331,10,4.210526316,21.68421053,9.986139979,10,3.157894737,1,0.460234928,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"5","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",24,27,25.5,3,"3",21.68421053,9.986139979,10,3.157894737,14.10526316,4.660198657,10,1.473684211,2,0.238483641,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"6","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",27,30,28.5,3,"3",14.10526316,4.660198657,10,1.473684211,10.94736842,1.997227996,10,0.631578947,3,0.429630531,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"7","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","28",28,31.5,29.75,3.5,"3",6.666666667,4.614434491,11,1.391304348,4,0.672938363,11,0.202898551,1,0.232352008,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"8","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","28",31.5,35,33.25,3.5,"3",4,0.672938363,11,0.202898551,2.463768116,0.672938363,11,0.202898551,2,0.250429367,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"9","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","31.5",28,31.5,29.75,3.5,"3",8.202898551,1.826546986,11,0.550724638,4.637681159,3.653093972,11,1.101449275,3,0.196056644,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"10","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","31.5",31.5,35,33.25,3.5,"3",4.637681159,3.653093972,11,1.101449275,2.173913043,0.672938363,11,0.202898551,4,0.114771017,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"11","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","35",28,31.5,29.75,3.5,"3",7.768115942,4.710568543,11,1.420289855,4.608695652,2.787887505,11,0.84057971,5,0.224997704,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"12","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","35",31.5,35,33.25,3.5,"3",4.608695652,2.787887505,11,0.84057971,3.391304348,1.53814483,11,0.463768116,6,0.416290397,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
