study_ID,study_name,species,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,T,mean,sd,n,se,shared_group,T_b,source
13,013_Calosi_etal_2012,Ilybius meridionalis,adult,wild,0.09,aerial,individual,voluntary,mean,14.5,14.5,128,184.41,13,NA,20,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius meridionalis,adult,wild,0.09,aerial,individual,voluntary,mean,20,20,72.23,57.62,15,NA,20,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius montanus,adult,wild,0.07,aerial,individual,voluntary,mean,14.5,14.5,361.68,209.78,15,NA,21,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius montanus,adult,wild,0.07,aerial,individual,voluntary,mean,20,20,197.13,106.89,13,NA,21,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius neglectus,adult,wild,0.04,aerial,individual,voluntary,mean,14.5,14.5,535.17,415.08,8,NA,22,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius neglectus,adult,wild,0.04,aerial,individual,voluntary,mean,20,20,384.87,360.34,10,NA,22,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius pederzani,adult,wild,0.06,aerial,individual,voluntary,mean,14.5,14.5,254.21,223.13,14,NA,23,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius pederzani,adult,wild,0.06,aerial,individual,voluntary,mean,20,20,117.61,90.28,17,NA,23,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius subtilis,adult,wild,0.1,aerial,individual,voluntary,mean,14.5,14.5,152.33,16.97,2,NA,24,17.25,TableS4
13,013_Calosi_etal_2012,Ilybius subtilis,adult,wild,0.1,aerial,individual,voluntary,mean,20,20,102.39,118.24,2,NA,24,17.25,TableS4
