"study_ID","study_name","year","species","order","life_stage","animal_source","body_mass","respiration_mode","replication_level","dive.type","summary_stat","acclimation_temp","t1","t2","mean_t","delta_t","t_magnitude","mean_t1","sd_t1","n_t1","se_t1","mean_t2","sd_t2","n_t2","se_t2","shared_control","Q10","source","genus","species_new","sub_spp","species_rotl"
"97","097_Reyes&Milsom_2009",2010,"Trachemys scripta elegans","serpentes","adult","captive",1110,"aerial","individual","voluntary","mean","9,14.7,20.8",9,14.7,11.85,5.7,"plus5-7",55.8,1.414213562,8,0.5,51.3,3.959797975,8,1.4,1,0.862850151,"Table2","Trachemys","scripta","elegans","Trachemys_scripta"
"92","092_Pratt&Franklin_2010",2010,"Acrochordus arafurae","serpentes","juvenile","captive",57,"bimodal","individual","voluntary","mean","28",20,26,23,6,"plus5-7",53.84615385,7.653749516,11,2.307692308,43.07692308,8.291561976,11,2.5,1,0.689419101,"Fig2","Acrochordus","arafurae","Acrochordus","Acrochordus_arafurae"
"92","092_Pratt&Franklin_2010",2010,"Acrochordus arafurae","serpentes","juvenile","captive",57,"bimodal","individual","voluntary","mean","28",26,32,29,6,"plus5-7",43.07692308,8.291561976,11,2.5,19.61538462,7.015937057,11,2.115384615,2,0.269517471,"Fig2","Acrochordus","arafurae","Acrochordus","Acrochordus_arafurae"
"120","120_Uriona_etal_2009",2009,"Alligator mississippiensis","crocodilia","juvenile","captive",242,"aerial","individual","voluntary","mean","25",22,28,25,6,"plus5-7",5.227272727,0.561219975,7,0.212121212,2.651515152,0.280609988,7,0.106060606,1,0.322625177,"Fig3A","Alligator","mississippiensis","Alligator","Alligator_mississippiensis"
"99","099_Rodgers&Franklin_2017",2017,"Crocodylus porosus","crocodilia","juveniles","captive",488,"aerial","individual","fright","mean","28,34",28,34,31,6,"plus5-7",18.5,8.313843876,12,2.4,9,3.741657387,14,1,1,0.300920172,"In text pg.3559","Crocodylus","porosus","Crocodylus","Crocodylus_porosus"
"119","119_Udyawer_etal_2016",2016,"Hydrophis curtus","serpentes","unspecified","wild",160,"bimodal","individual","voluntary","mean","27",21,27,24,6,"plus5-7",39.78947368,16.05944635,11,4.842105263,15.78947368,4.887657586,11,1.473684211,1,0.214288615,"Fig1B","Hydrophis","curtus","Hydrophis","Hydrophis_curtus"
"119","119_Udyawer_etal_2016",2016,"Hydrophis curtus","serpentes","unspecified","wild",160,"bimodal","individual","voluntary","mean","27",24,30,27,6,"plus5-7",28.42105263,15.36120956,11,4.631578947,11.15789474,3.49118399,11,1.052631579,2,0.210492601,"Fig1B","Hydrophis","curtus","Hydrophis","Hydrophis_curtus"
"119","119_Udyawer_etal_2016",2016,"Hydrophis elegans","serpentes","unspecified","wild",1035,"bimodal","individual","voluntary","mean","27",21,27,24,6,"plus5-7",27.36842105,13.31485331,10,4.210526316,14.10526316,4.660198657,10,1.473684211,1,0.331298206,"Fig1B","Hydrophis","elegans","Hydrophis","Hydrophis_elegans"
"119","119_Udyawer_etal_2016",2016,"Hydrophis elegans","serpentes","unspecified","wild",1035,"bimodal","individual","voluntary","mean","27",24,30,27,6,"plus5-7",21.68421053,9.986139979,10,3.157894737,10.94736842,1.997227996,10,0.631578947,2,0.320093507,"Fig1B","Hydrophis","elegans","Hydrophis","Hydrophis_elegans"
"97","097_Reyes&Milsom_2009",2010,"Trachemys scripta elegans","serpentes","adult","captive",1110,"aerial","individual","voluntary","mean","9,14.7,20.8",14.7,20.8,17.75,6.1,"plus5-7",51.3,3.959797975,8,1.4,54,1.959591794,6,0.8,2,1.087723922,"Table2","Trachemys","scripta","elegans","Trachemys_scripta"
