"study_ID","study_name","species","life_stage","animal_source","body_mass_g","respiration_mode","replication_level","dive_type","mean_or_max","acclimation_temp","T","mean","sd","n","se","shared_group","T_b","source","genus","species_new","species_rotl","T_w","obs"
"99","099_Rodgers&Franlin_2017","Crocodylus porosus","juveniles","captive",488,"aerial","individual","fright","mean",34,34,9,3.741657387,14,1,1,31.40909091,"In text pg.3559","Crocodylus","porosus","Crocodylus_porosus",2.59090909090909,17
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",28,28,6.666666667,4.614434491,11,1.391304348,1,31.40909091,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",-3.40909090909091,18
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",28,31.5,4,0.672938363,11,0.202898551,1,27.68181818,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",0.0909090909090899,19
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",28,35,2.463768116,0.672938363,11,0.202898551,1,31.40909091,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",3.59090909090909,20
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",31.5,28,8.202898551,1.826546986,11,0.550724638,2,31.40909091,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",-3.40909090909091,21
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",31.5,31.5,4.637681159,3.653093972,11,1.101449275,2,24.04545455,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",0.0909090909090899,22
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",31.5,35,2.173913043,0.672938363,11,0.202898551,2,31.40909091,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",3.59090909090909,23
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",35,28,7.768115942,4.710568543,11,1.420289855,3,31.40909091,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",-3.40909090909091,24
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",35,31.5,4.608695652,2.787887505,11,0.84057971,3,19.90909091,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",0.0909090909090899,25
"101","101_Rodgers_etal_2015","Crocodylus porosus","juveniles","captive",710,"aerial","individual","fright","mean",35,35,3.391304348,1.53814483,11,0.463768116,3,31.40909091,"Fig2B","Crocodylus","porosus","Crocodylus_porosus",3.59090909090909,26
"116","116_Storey_etal_2008","Elseya albagula","juveniles","wild",133.3,"bimodal","individual","voluntary","mean",NA,20,27.6,32.45454942,7,12.26666667,1,25,"Fig2A","Elseya","albagula","Elseya_albagula",-5,27
"116","116_Storey_etal_2008","Elseya albagula","juveniles","wild",133.3,"bimodal","individual","voluntary","mean",NA,25,15.33333333,5.644269464,7,2.133333333,1,25,"Fig2A","Elseya","albagula","Elseya_albagula",0,28
"116","116_Storey_etal_2008","Elseya albagula","juveniles","wild",133.3,"bimodal","individual","voluntary","mean",NA,30,9.333333333,4.938735781,7,1.866666667,1,25,"Fig2A","Elseya","albagula","Elseya_albagula",5,29
"107","107_Schaffer_etal_2016","Elseya irwini","adult","wild",3813,"bimodal","individual","voluntary","mean",17,17,97.4,30.3,9,10.1,1,21,"Table1","Elseya","irwini","Elseya_irwini",-4,30
"107","107_Schaffer_etal_2016","Elseya irwini","adult","wild",3813,"bimodal","individual","voluntary","mean",25,25,25.1,4.8,9,1.6,1,21,"Table1","Elseya","irwini","Elseya_irwini",4,31
"23","023_Clark_etal_2008","Elusor macrurus","juvenile","wild",29.88,"bimodal","individual","voluntary","mean",17,17,765,521.7413152,6,213,1,22.5,"In text pg. 304","Elusor","macrurus","Elusor_macrurus",-5.5,32
"23","023_Clark_etal_2008","Elusor macrurus","juvenile","wild",29.88,"bimodal","individual","voluntary","mean",17,28,8.36,1.420704051,6,0.58,1,22.5,"In text pg. 304","Elusor","macrurus","Elusor_macrurus",5.5,33
"23","023_Clark_etal_2008","Elusor macrurus","juvenile","wild",30.04,"bimodal","individual","voluntary","mean",28,17,125,55.56077753,7,21,2,22.5,"In text pg. 304","Elusor","macrurus","Elusor_macrurus",-5.5,34
"23","023_Clark_etal_2008","Elusor macrurus","juvenile","wild",30.04,"bimodal","individual","voluntary","mean",28,28,6.78,2.539921259,7,0.96,2,22.5,"In text pg. 304","Elusor","macrurus","Elusor_macrurus",5.5,35
"93","093_Priest&Franklin_2002","Emydura macquarii","adult","wild",1595,"bimodal","individual","voluntary","mean",23,15,32.55813953,16.64050588,5,7.441860465,1,22.66666667,"Fig1B","Emydura","macquarii","Emydura_macquarii",-7.66666666666667,36
"93","093_Priest&Franklin_2002","Emydura macquarii","adult","wild",1595,"bimodal","individual","voluntary","mean",23,23,4.88372093,2.600079044,5,1.162790698,1,22.66666667,"Fig1B","Emydura","macquarii","Emydura_macquarii",0.333333333333332,37
"93","093_Priest&Franklin_2002","Emydura macquarii","adult","wild",1595,"bimodal","individual","voluntary","mean",23,30,6.511627907,3.640110661,5,1.627906977,1,22.66666667,"Fig1B","Emydura","macquarii","Emydura_macquarii",7.33333333333333,38
"119","119_Udyawer_etal_2016","Hydrophis curtus","unspecified","wild",160,"bimodal","individual","voluntary","mean",27,21,39.78947368,16.05944635,11,4.842105263,1,25.5,"Fig1B","Hydrophis","curtus","Hydrophis_curtus",-4.5,39
"119","119_Udyawer_etal_2016","Hydrophis curtus","unspecified","wild",160,"bimodal","individual","voluntary","mean",27,24,28.42105263,15.36120956,11,4.631578947,1,25.5,"Fig1B","Hydrophis","curtus","Hydrophis_curtus",-1.5,40
"119","119_Udyawer_etal_2016","Hydrophis curtus","unspecified","wild",160,"bimodal","individual","voluntary","mean",27,27,15.78947368,4.887657586,11,1.473684211,1,25.5,"Fig1B","Hydrophis","curtus","Hydrophis_curtus",1.5,41
"119","119_Udyawer_etal_2016","Hydrophis curtus","unspecified","wild",160,"bimodal","individual","voluntary","mean",27,30,11.15789474,3.49118399,11,1.052631579,1,25.5,"Fig1B","Hydrophis","curtus","Hydrophis_curtus",4.5,42
"119","119_Udyawer_etal_2016","Hydrophis elegans","unspecified","wild",1035,"bimodal","individual","voluntary","mean",27,21,27.36842105,13.31485331,10,4.210526316,2,25.5,"Fig1B","Hydrophis","elegans","Hydrophis_elegans",-4.5,43
"119","119_Udyawer_etal_2016","Hydrophis elegans","unspecified","wild",1035,"bimodal","individual","voluntary","mean",27,24,21.68421053,9.986139979,10,3.157894737,2,25.5,"Fig1B","Hydrophis","elegans","Hydrophis_elegans",-1.5,44
"119","119_Udyawer_etal_2016","Hydrophis elegans","unspecified","wild",1035,"bimodal","individual","voluntary","mean",27,27,14.10526316,4.660198657,10,1.473684211,2,25.5,"Fig1B","Hydrophis","elegans","Hydrophis_elegans",1.5,45
"119","119_Udyawer_etal_2016","Hydrophis elegans","unspecified","wild",1035,"bimodal","individual","voluntary","mean",27,30,10.94736842,1.997227996,10,0.631578947,2,25.5,"Fig1B","Hydrophis","elegans","Hydrophis_elegans",4.5,46
"3","003_Aubret_etal_2015","Natrix maura ","juvenile","wild",2.525,"aerial","individual","fright","mean",18,10,57.27272727,34.54246399,231,2.272727273,1,20,"fig1","Natrix","maura","Natrix_maura",-10,47
"3","003_Aubret_etal_2015","Natrix maura ","juvenile","wild",2.525,"aerial","individual","fright","mean",18,20,11.13636364,13.81698559,231,0.909090909,1,20,"fig1","Natrix","maura","Natrix_maura",0,48
"3","003_Aubret_etal_2015","Natrix maura ","juvenile","wild",2.525,"aerial","individual","fright","mean",18,30,3.636363636,10.3627392,231,0.681818182,1,20,"fig1","Natrix","maura","Natrix_maura",10,49
"93","093_Priest&Franklin_2002","Rheodytes leukops","adult","wild",1325,"bimodal","individual","voluntary","mean",23,15,98.94736842,55.43582049,6,22.63157895,1,22.66666667,"Fig1A","Rheodytes","leukops","Rheodytes_leukops",-7.66666666666667,50
"93","093_Priest&Franklin_2002","Rheodytes leukops","adult","wild",1325,"bimodal","individual","voluntary","mean",23,23,35.78947368,19.33807692,6,7.894736842,1,22.66666667,"Fig1A","Rheodytes","leukops","Rheodytes_leukops",0.333333333333332,51
"93","093_Priest&Franklin_2002","Rheodytes leukops","adult","wild",1325,"bimodal","individual","voluntary","mean",23,30,15.26315789,11.60284615,6,4.736842105,1,22.66666667,"Fig1A","Rheodytes","leukops","Rheodytes_leukops",7.33333333333333,52
"97","097_Reyes&Milsom_2009","Trachemys scripta elegans","adult","captive",1110,"aerial","individual","voluntary","mean",9,9,55.8,1.414213562,8,0.5,1,14.83333333,"Table2","Trachemys","scripta","Trachemys_scripta",-5.83333333333333,53
"97","097_Reyes&Milsom_2009","Trachemys scripta elegans","adult","captive",1110,"aerial","individual","voluntary","mean",14.7,14.7,51.3,3.959797975,8,1.4,1,14.83333333,"Table2","Trachemys","scripta","Trachemys_scripta",-0.133333333333335,54
"97","097_Reyes&Milsom_2009","Trachemys scripta elegans","adult","captive",1110,"aerial","individual","voluntary","mean",20.8,20.8,54,1.959591794,6,0.8,1,14.83333333,"Table2","Trachemys","scripta","Trachemys_scripta",5.96666666666667,55
"106","106_Samajova&Gvozdik_2009","Triturus alpestris","adult","wild",3.5,"bimodal","individual","voluntary","mean",18,10,5.512820513,1.954108603,12,0.564102564,1,17.5,"Fig2A; body mas data from DOI 10.1007/s00265-005-0924-8, pg. 123","Triturus","alpestris","Triturus_alpestris",-7.5,56
"106","106_Samajova&Gvozdik_2009","Triturus alpestris","adult","wild",3.5,"bimodal","individual","voluntary","mean",18,15,3.320512821,1.154700538,12,0.333333333,1,17.5,"Fig2A; body mas data from DOI 10.1007/s00265-005-0924-8, pg. 123","Triturus","alpestris","Triturus_alpestris",-2.5,57
"106","106_Samajova&Gvozdik_2009","Triturus alpestris","adult","wild",3.5,"bimodal","individual","voluntary","mean",18,20,2.102564103,0.53293871,12,0.153846154,1,17.5,"Fig2A; body mas data from DOI 10.1007/s00265-005-0924-8, pg. 123","Triturus","alpestris","Triturus_alpestris",2.5,58
"106","106_Samajova&Gvozdik_2009","Triturus alpestris","adult","wild",3.5,"bimodal","individual","voluntary","mean",18,25,0.923076923,0.222057796,12,0.064102564,1,17.5,"Fig2A; body mas data from DOI 10.1007/s00265-005-0924-8, pg. 123","Triturus","alpestris","Triturus_alpestris",7.5,59
