study_ID,study_name,genus,species,species_genus_sp,life_stage,animal_source,body_mass_g,respiration_mode,replication_level,dive_type,mean_or_max,acclimation_temp,t1,t2,delta_t,mean_control,sd_control,n_control,se_control,mean_treatment,sd_treatment,n_treatment,se_treatment,shared_control,Q10,source,
13,013_Calosi_etal_2012,Deronectes,lareynii,Deronectes lareynii,adult,wild,0.00682,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,5.152166667,8.118,18,NA,2.023833333,3.026833333,12,NA,9,0.182874965,TableS3,
13,013_Calosi_etal_2012,Deronectes,latus,Deronectes latus,adult,wild,0.00855,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,1.613,1.316,15,NA,5.946,13.58383333,16,NA,10,10.71925527,TableS3,
13,013_Calosi_etal_2012,Deronectes,mazzoldi,Deronectes mazzoldi,adult,wild,0.009965,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,1.264833333,0.765833333,13,NA,4.262166667,6.512,13,NA,11,9.104739017,TableS3,
13,013_Calosi_etal_2012,Deronectes,moestus,Deronectes moestus,adult,wild,0.00631,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,7.0075,10.15416667,17,NA,3.620333333,4.351,18,NA,12,0.300967087,TableS3,
13,013_Calosi_etal_2012,Deronectes,opatrinus,Deronectes opatrinus,adult,wild,0.010575,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,4.1435,4.819,11,NA,1.549166667,1.318333333,14,NA,13,0.167165599,TableS3,
13,013_Calosi_etal_2012,Deronectes,platynotus,Deronectes platynotus,adult,wild,0.009845,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,0.965833333,0.814,14,NA,1.206,1.241666667,18,NA,14,1.497458377,TableS3,
13,013_Calosi_etal_2012,Deronectes,semirufus,Deronectes semirufus,adult,wild,0.009075,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,1.8865,1.800166667,17,NA,4.381,5.710333333,16,NA,15,4.627033297,TableS3,
13,013_Calosi_etal_2012,Deronectes,wewalkai,Deronectes wewalkai,adult,wild,0.007565,aerial,individual,voluntary,mean,14.5 and 20,14.5,20,5.5,2.655166667,2.615833333,18,NA,1.381166667,1.289833333,16,NA,16,0.304731193,TableS3,
107,107_Schaffer_etal_2016,Elseya,irwini,Elseya irwini,adult,wild,3813,bimodal,individual,voluntary,mean,"17,25",17,25,8,97.4,30.3,9,10.1,25.1,4.8,9,1.6,1,0.183608785,Table1,
116,116_Storey_etal_2008,Elseya,albagula,Elseya albagula,juveniles,wild,133.3,bimodal,individual,voluntary,mean,unreported,20,25,5,27.6,32.45454942,7,12.26666667,15.33333333,5.644269464,7,2.133333333,1,0.308641975,Fig2A,
116,116_Storey_etal_2008,Elseya,albagula,Elseya albagula,juveniles,wild,133.3,bimodal,individual,voluntary,mean,unreported,20,30,10,27.6,32.45454942,7,12.26666667,9.333333333,4.938735781,7,1.866666667,1,0.338164251,Fig2A,
116,116_Storey_etal_2008,Elseya,albagula,Elseya albagula,juveniles,wild,133.3,bimodal,individual,voluntary,mean,unreported,25,30,5,15.33333333,5.644269464,7,2.133333333,9.333333333,4.938735781,7,1.866666667,2,0.370510397,Fig2A,
23,023_Clark_etal_2008,Elusor,macrurus,Elusor macrurus,juvenile,wild,29.88,bimodal,individual,voluntary,mean,17,17,28,11,765,521.7413152,6,213,8.36,1.420704051,6,0.58,1,0.016476272,In text pg. 304,
23,023_Clark_etal_2008,Elusor,macrurus,Elusor macrurus,juvenile,wild,30.04,bimodal,individual,voluntary,mean,28,17,28,11,125,55.56077753,7,21,6.78,2.539921259,7,0.96,2,0.070693833,In text pg. 304,
93,093_Priest&Franklin_2002,Emydura,macquarii,Emydura macquarii,adult,wild,1595,bimodal,individual,voluntary,mean,23,15,23,8,32.55813953,16.64050588,5,7.441860465,4.88372093,2.600079044,5,1.162790698,1,0.093349947,Fig1B,
93,093_Priest&Franklin_2002,Emydura,macquarii,Emydura macquarii,adult,wild,1595,bimodal,individual,voluntary,mean,23,15,30,15,32.55813953,16.64050588,5,7.441860465,6.511627907,3.640110661,5,1.627906977,1,0.341995189,Fig1B,
